iter	RMSE
0	0.6139573324
1	0.5995705707
2	0.5862646126
3	0.5735271098
4	0.5616816741
5	0.550099604
6	0.5393281022
7	0.5288901276
8	0.519047467
9	0.5092595268
10	0.5004240272
11	0.491996904
12	0.4842245706
13	0.4761247773
14	0.4684059276
15	0.4611302099
16	0.4541429741
17	0.4477220435
18	0.4415434644
19	0.4358211228
20	0.4299937695
21	0.4246528331
22	0.4198061465
23	0.4150029258
24	0.4105254876
25	0.4061752016
26	0.4021193496
27	0.3982915512
28	0.3945853824
29	0.3910815261
30	0.3877810179
31	0.3845467197
32	0.3815385131
33	0.378624956
34	0.3759722374
35	0.3734415105
36	0.3710789504
37	0.36870212
38	0.3663917489
39	0.3642948769
40	0.3623253118
41	0.3605046957
42	0.3586255669
43	0.3569218182
44	0.3553201978
45	0.3538472638
46	0.3523684097
47	0.351046245
48	0.3497239468
49	0.3484797252
50	0.3471663794
51	0.3459981097
52	0.344967974
53	0.3439611976
54	0.3429443447
55	0.3420540527
56	0.3411431172
57	0.3402706649
58	0.3393843452
59	0.33859463
60	0.3378207569
61	0.3371000157
62	0.3364830538
63	0.3357920271
64	0.3351732368
65	0.3345033844
66	0.3339008135
67	0.3333045274
68	0.3327854511
69	0.3322974329
70	0.3318375444
71	0.3313538078
72	0.3308293616
73	0.3303284053
74	0.3299381795
75	0.3295010804
76	0.3291067645
77	0.3286773308
78	0.3283330099
79	0.3278955969
80	0.3275742556
81	0.3271971753
82	0.3269068768
83	0.3265790064
84	0.3263130449
85	0.3259877555
86	0.3257345637
87	0.325507291
88	0.3252778858
89	0.3250268586
90	0.3247940469
91	0.3245011934
92	0.3242412402
93	0.3240215106
94	0.3238283471
95	0.3236033829
96	0.3234270164
97	0.3232422341
98	0.323024232
99	0.3227655045
100	0.3226058154
101	0.322418362
102	0.3222589495
103	0.3220682405
104	0.3218566361
105	0.321679865
106	0.3215400931
107	0.3213792103
108	0.3212159097
109	0.3211008099
110	0.3209277723
111	0.3207968914
112	0.3206594878
113	0.3205212708
114	0.3203837827
115	0.3202715152
116	0.3201048869
117	0.3199033346
118	0.3197111903
119	0.3195456529
120	0.3194108848
121	0.3192766043
122	0.3191443127
123	0.3190095316
124	0.3189012103
125	0.3187539448
126	0.3186014985
127	0.3184517038
128	0.3183214706
129	0.318198656
130	0.3180541287
131	0.3179617026
132	0.317837102
133	0.3177292774
134	0.3176276512
135	0.3174312788
136	0.3173320126
137	0.3172455813
138	0.3171415132
139	0.3170041729
140	0.316867951
141	0.3167686939
142	0.3166805509
143	0.3165904899
144	0.316490487
145	0.3163866004
146	0.3162819243
147	0.3161828274
148	0.3160494125
149	0.3158670382
150	0.3157650891
151	0.3156867651
152	0.3155744465
153	0.3154506519
154	0.3153794796
155	0.3152468131
156	0.3151707208
157	0.3150623952
158	0.3149771239
159	0.3148710643
160	0.3147705174
161	0.3146937072
162	0.3146133313
163	0.3145239969
164	0.3144373771
165	0.3143595576
166	0.3142724115
167	0.3141727908
168	0.314099598
169	0.3139693579
170	0.3138646312
171	0.3137987442
172	0.3137049714
173	0.3136285673
174	0.3135616684
175	0.3134578785
176	0.3133489742
177	0.3131874184
178	0.3131164382
179	0.3129609214
180	0.3128871879
181	0.3128302263
182	0.3127526999
183	0.3126960579
184	0.3125938175
185	0.312512538
186	0.3124503209
187	0.3123765874
188	0.3123044396
189	0.3122517613
190	0.3121870538
191	0.3121100403
192	0.3120146181
193	0.3118774153
194	0.3118156286
195	0.3117644653
196	0.3116902125
197	0.311630095
198	0.3115618008
199	0.3115032938
200	0.3114446937
201	0.3113703509
202	0.3112855286
203	0.3111681953
204	0.3110748164
205	0.311026841
206	0.3109203724
207	0.3108115936
208	0.310748847
209	0.3106268625
210	0.3105710813
211	0.3104877641
212	0.3104448506
213	0.3103395838
214	0.3103044654
215	0.3101995982
216	0.310109135
217	0.3100439655
218	0.3099919741
219	0.3099323996
220	0.3098757891
221	0.3097436981
222	0.3096419644
223	0.3095871373
224	0.3095014557
225	0.3094345942
226	0.3093620581
227	0.3092818667
228	0.3092338383
229	0.3091919515
230	0.3090771777
231	0.3090240474
232	0.3089535743
233	0.3088854258
234	0.3088378722
235	0.308778891
236	0.3087088811
237	0.3086315703
238	0.3085629641
239	0.3084889493
240	0.3084134523
241	0.3083424385
242	0.3082781147
243	0.3081756647
244	0.3081270394
245	0.3080468731
246	0.3079197543
247	0.3078352366
248	0.3077805624
249	0.3076736876
250	0.3076064971
251	0.307536329
252	0.3074783067
253	0.3073927434
254	0.307322957
255	0.3072608612
256	0.3071529539
257	0.3070503355
258	0.3070017701
259	0.3069299531
260	0.3068511706
261	0.3067697014
262	0.3067118114
263	0.3066374338
264	0.3065620999
265	0.3065083446
266	0.3064321037
267	0.3063572747
268	0.3062773874
269	0.3062312612
270	0.3061851242
271	0.3060852366
272	0.3060038819
273	0.3058928531
274	0.305849118
275	0.3057297158
276	0.3056685264
277	0.3056005146
278	0.3054903171
279	0.3054105652
280	0.3053291105
281	0.3052626765
282	0.3051814282
283	0.30508771
284	0.30502244
285	0.3049582909
286	0.3048595085
287	0.3048168253
288	0.304744114
289	0.3046786261
290	0.3046098673
291	0.3045350459
292	0.3044541989
293	0.3043701187
294	0.3042753178
295	0.3041651506
296	0.3041032911
297	0.3040334496
298	0.3039627692
299	0.3039004344
300	0.3038132105
301	0.303735757
302	0.3036737724
303	0.3036207141
304	0.3035624652
305	0.3034857189
306	0.3033910067
307	0.3032853295
308	0.3032026576
309	0.303151178
310	0.3030913109
311	0.3030389917
312	0.3029776165
313	0.3028963962
314	0.3027857449
315	0.3027208621
316	0.3026343093
317	0.3025659612
318	0.3024634648
319	0.3023741326
320	0.3023084049
321	0.3022541559
322	0.3021818589
323	0.302074755
324	0.3020179917
325	0.3019428809
326	0.301876171
327	0.3017951332
328	0.3017336413
329	0.3016805113
330	0.3016196415
331	0.3015654194
332	0.301510584
333	0.3014241025
334	0.3013481208
335	0.3012844431
336	0.3011900888
337	0.3011172268
338	0.3010465525
339	0.3009791633
340	0.3009208514
341	0.300853332
342	0.3008018234
343	0.3007390056
344	0.3006924297
345	0.3005801585
346	0.3005185899
347	0.3004638681
348	0.30037033
349	0.3003207013
350	0.3002214271
351	0.3001644273
352	0.3001008168
353	0.3000423714
354	0.2999593336
355	0.2998573396
356	0.2997872355
357	0.2997355216
358	0.2996979957
359	0.2996191024
360	0.2995488827
361	0.2994914432
362	0.2994246834
363	0.2993643551
364	0.2993097456
365	0.2992435257
366	0.2991835695
367	0.2991064656
368	0.2990435221
369	0.2989810109
370	0.2989002648
371	0.2988479381
372	0.2987723858
373	0.298710113
374	0.2986497543
375	0.2985708911
376	0.2985365341
377	0.2984768658
378	0.2984245732
379	0.2983578165
380	0.2982951837
381	0.2982545973
382	0.298168255
383	0.2981104376
384	0.2980383029
385	0.2979833384
386	0.2979352184
387	0.2978903887
388	0.2978129964
389	0.2977349619
390	0.2976463427
391	0.2975597575
392	0.2974895707
393	0.2974165426
394	0.2973462919
395	0.2972945687
396	0.2972352552
397	0.29716717
398	0.2971211125
399	0.2970195882
